/mnt/linuxlab/home/gdawson1/Ryan/COSC420/Project-1-ProjectEuler/Problem160/Template.c: In function ‘main’:
/mnt/linuxlab/home/gdawson1/Ryan/COSC420/Project-1-ProjectEuler/Problem160/Template.c:175:16: error: ‘math’ undeclared (first use in this function)
         fac /= math.pow(5.0, 7.0);
                ^
/mnt/linuxlab/home/gdawson1/Ryan/COSC420/Project-1-ProjectEuler/Problem160/Template.c:175:16: note: each undeclared identifier is reported only once for each function it appears in
Rank: 209 | Start: 628 | Finish: 630
Rank: 183 | Start: 550 | Finish: 552
Rank: 222 | Start: 667 | Finish: 669
Rank: 80 | Start: 241 | Finish: 243
Rank: 245 | Start: 736 | Finish: 738
Rank: 206 | Start: 619 | Finish: 621
Rank: 48 | Start: 145 | Finish: 147
Rank: 116 | Start: 349 | Finish: 351
Rank: 224 | Start: 673 | Finish: 675
Rank: 94 | Start: 283 | Finish: 285
Rank: 255 | Start: 766 | Finish: 768
Rank: 33 | Start: 100 | Finish: 102
Rank: 121 | Start: 364 | Finish: 366
Rank: 45 | Start: 136 | Finish: 138
Rank: 166 | Start: 499 | Finish: 501
Rank: 118 | Start: 355 | Finish: 357
Rank: 8 | Start: 25 | Finish: 27
Rank: 59 | Start: 178 | Finish: 180
Rank: 135 | Start: 406 | Finish: 408
Rank: 21 | Start: 64 | Finish: 66
Rank: 184 | Start: 553 | Finish: 555
Rank: 249 | Start: 748 | Finish: 750
Rank: 131 | Start: 394 | Finish: 396
Rank: 194 | Start: 583 | Finish: 585
Rank: 162 | Start: 487 | Finish: 489
Rank: 174 | Start: 523 | Finish: 525
Rank: 197 | Start: 592 | Finish: 594
Rank: 24 | Start: 73 | Finish: 75
Rank: 218 | Start: 655 | Finish: 657
Rank: 84 | Start: 253 | Finish: 255
Rank: 235 | Start: 706 | Finish: 708
Rank: 111 | Start: 334 | Finish: 336
Rank: 86 | Start: 259 | Finish: 261
Rank: 117 | Start: 352 | Finish: 354
Rank: 31 | Start: 94 | Finish: 96
Rank: 141 | Start: 424 | Finish: 426
Rank: 147 | Start: 442 | Finish: 444
Rank: 244 | Start: 733 | Finish: 735
Rank: 127 | Start: 382 | Finish: 384
Rank: 188 | Start: 565 | Finish: 567
Rank: 263 | Start: 790 | Finish: 1000
Rank: 198 | Start: 595 | Finish: 597
Rank: 180 | Start: 541 | Finish: 543
Rank: 153 | Start: 460 | Finish: 462
Rank: 223 | Start: 670 | Finish: 672
Rank: 213 | Start: 640 | Finish: 642
Rank: 253 | Start: 760 | Finish: 762
Rank: 238 | Start: 715 | Finish: 717
Rank: 102 | Start: 307 | Finish: 309
Rank: 125 | Start: 376 | Finish: 378
Rank: 148 | Start: 445 | Finish: 447
Rank: 130 | Start: 391 | Finish: 393
Rank: 185 | Start: 556 | Finish: 558
Rank: 177 | Start: 532 | Finish: 534
Rank: 246 | Start: 739 | Finish: 741
Rank: 193 | Start: 580 | Finish: 582
Rank: 259 | Start: 778 | Finish: 780
Rank: 152 | Start: 457 | Finish: 459
Rank: 192 | Start: 577 | Finish: 579
Rank: 129 | Start: 388 | Finish: 390
Rank: 163 | Start: 490 | Finish: 492
Rank: 124 | Start: 373 | Finish: 375
Rank: 248 | Start: 745 | Finish: 747
Rank: 257 | Start: 772 | Finish: 774
Rank: 203 | Start: 610 | Finish: 612
Rank: 208 | Start: 625 | Finish: 627
Rank: 120 | Start: 361 | Finish: 363
Rank: 126 | Start: 379 | Finish: 381
Rank: 242 | Start: 727 | Finish: 729
Rank: 260 | Start: 781 | Finish: 783
Rank: 207 | Start: 622 | Finish: 624
Rank: 142 | Start: 427 | Finish: 429
Rank: 199 | Start: 598 | Finish: 600
Rank: 243 | Start: 730 | Finish: 732
Rank: 123 | Start: 370 | Finish: 372
Rank: 262 | Start: 787 | Finish: 789
Rank: 200 | Start: 601 | Finish: 603
Rank: 139 | Start: 418 | Finish: 420
Rank: 140 | Start: 421 | Finish: 423
Rank: 252 | Start: 757 | Finish: 759
Rank: 261 | Start: 784 | Finish: 786
Rank: 134 | Start: 403 | Finish: 405
Rank: 133 | Start: 400 | Finish: 402
Rank: 258 | Start: 775 | Finish: 777
Rank: 143 | Start: 430 | Finish: 432
Rank: 204 | Start: 613 | Finish: 615
Rank: 254 | Start: 763 | Finish: 765
eeR 57472
WORLD SIZE: 264
